"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL(L/h)","V2 (L)","KA","WT on CL","WT on V","Q (L/h)","V3 (L)","alag1","age on CL","bili","alt","tras","cap","age on V","keto","age on Ka","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","SIGMA(2,2)","seCL(L/h)","seV2 (L)","seKA","seWT on CL","seWT on V","seQ (L/h)","seV3 (L)","sealag1","seage on CL","sebili","sealt","setras","secap","seage on V","seketo","seage on Ka","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","seSIGMA(2,2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21"
10,1,1,1,0,0,0,0,1,10,1,0,0,NA,NA,FOCE_I,0:06:24,375.29,0,48690.7426518035,198.854,3833.98,0.290906,0.4096,0.61214,54.3337,1515.52,0.740635,-0.0714862,-0.0100878,-0.113736,0.882252,0.903884,1.60678,0.15265,1.12252,0.16846,0.662935,0.817919,0.0992122,1.96237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1,1,0,0,0,0,1,0,0,1,0,2.3,NA,FOCE_I,0:07:34,443.15,0,49899.565537384,194.757,4351.1,0.365533,0.401301,0.422222,58.9781,1559.52,0.706096,-0.165134,0.0347189,0.198493,1.75833,1.014,1.57605,0.141732,1.13535,0.187286,0.661476,0.874835,0.109649,2.95402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,1,1,0,0,0,0,1,0,0,1,0,2.1,NA,FOCE_I,0:10:27,623.12,0,48898.3014182968,197.652,4450.7,0.381527,0.229007,0.232236,49.0713,1221.29,0.681097,-0.0625095,0.0312238,0.0757146,0.590014,0.985836,1.54892,0.189355,1.27916,0.189298,0.588387,0.72205,0.107413,5.20948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,1,1,1,1,0,0,0,0,0,0,0,3.8,357149000,FOCE_I,0:24:51,468.27,1013.08,48905.1869813461,184.503,4430.43,0.391444,0.549657,1.01997,52.8866,1308.38,0.730735,-0.164974,-0.0779375,0.0495864,1.18974,1.05546,1.77261,0.188812,1.43287,0.175779,0.564918,0.589434,0.105089,3.16139,6.39993,311.187,0.0365694,0.105779,0.181072,5.49034,127.663,0.0207613,0.0677418,0.049777,0.112748,0.237788,0.067224,0.152669,0.0206759,0.141647,0.0127221,0.0744258,0.0913506,0.0043536,1.09928,NA,NA,NA,NA,1.20357e-08,0.0412988,0.101668,0.145716,0.169341,0.217826,0.270624,0.319821,0.408211,0.524733,0.65596,0.703552,0.863951,0.901292,0.964351,1.18578,1.45447,1.55671,2.43173,3.78443,4.29854
14,1,1,1,0,0,0,0,1,0,0,1,0,0.1,NA,FOCE_I,0:10:17,606.53,0,49052.6747222531,196.585,4611.89,0.36841,0.505943,0.346189,53.5671,1566.5,0.725094,-0.0824788,0.0659876,0.0999154,2.04836,0.988112,1.66109,0.148799,1.39196,0.175404,0.658982,0.794976,0.111301,4.23904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,1,1,1,0,1,0,0,0,0,0,0,3.3,NA,FOCE_I,0:25:02,464.53,1028.54,48804.0069946257,188.617,4177.92,0.364491,0.364109,0.526524,49.5625,1393.51,0.71144,-0.147943,0.019568,-0.110335,1.70154,0.924723,1.6474,0.198298,1.27982,0.166345,0.576812,0.689316,0.102307,2.59125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,1,1,0,0,0,0,1,0,0,1,0,2.2,NA,FOCE_I,0:10:49,644.15,0,49690.4371014446,193.993,4729.3,0.396933,0.323268,0.595109,49.4725,1496.27,0.73711,-0.049017,-0.104536,0.0266271,0.523788,0.857462,1.58367,0.166489,1.31993,0.207665,0.649539,0.919931,0.106548,2.40303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,1,1,1,0,0,0,0,0,0,0,3.2,4309420,FOCE_I,0:23:19,331.85,1058.26,49250.0883100507,193.008,4408.59,0.389019,0.450902,0.275602,45.3027,1409.34,0.691624,-0.088274,-0.0586273,0.182666,0.522422,0.902054,1.5316,0.17121,1.3048,0.183059,0.589601,0.867831,0.10208,2.74247,6.6363,247.649,0.0309682,0.10963,0.339422,8.20042,228.424,0.0294413,0.0555213,0.101953,0.13967,0.0255629,0.0736076,0.145839,0.0209243,0.127659,0.0123369,0.0794951,0.125811,0.00457819,1.08618,NA,NA,NA,NA,1.54482e-06,0.0198375,0.0411694,0.0840911,0.0935717,0.153792,0.256794,0.273591,0.372513,0.422945,0.447562,0.675806,0.711746,0.790348,0.930946,1.15487,1.39254,1.79829,1.98133,2.741,6.65726
18,1,1,1,0,0,0,0,1,0,0,0,0,2.7,NA,FOCE_I,0:13:22,794.37,0,47355.8726396378,205.542,4574.96,0.355714,0.529003,0.345521,49.0892,2334.83,0.760595,-0.0214508,-0.00122939,-0.130459,0.483126,0.961963,1.53621,0.131014,1.26035,0.189139,0.772886,0.870471,0.102191,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1,1,1,1,0,0,0,0,0,0,2,0,3.2,NA,FOCE_I,0:31:17,872.48,993.51,48098.5538197035,194.347,4071.16,0.289755,0.445538,0.603717,50.9801,1426.64,0.702688,-0.0717212,-0.0134245,0.13889,1.10925,1.02683,1.67749,0.169625,0.983732,0.186369,0.499849,0.656278,0.102077,3.19333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
