"model","problem","subproblem","covariance_step_run","minimization_successful","covariance_step_successful","covariance_step_warnings","estimate_near_boundary","rounding_errors","zero_gradients","final_zero_gradients","hessian_reset","s_matrix_singular","significant_digits","condition_number","est_methods","model_run_time","subprob_est_time","subprob_cov_time","ofv","CL(L/h)","V2 (L)","KA","WT on CL","WT on V","Q (L/h)","V3 (L)","alag1","age on CL","bili","alt","tras","cap","age on V","keto","age on Ka","OMEGA(1,1)","OMEGA(2,2)","OMEGA(3,3)","SIGMA(1,1)","SIGMA(2,2)","seCL(L/h)","seV2 (L)","seKA","seWT on CL","seWT on V","seQ (L/h)","seV3 (L)","sealag1","seage on CL","sebili","sealt","setras","secap","seage on V","seketo","seage on Ka","seOMEGA(1,1)","seOMEGA(2,2)","seOMEGA(3,3)","seSIGMA(1,1)","seSIGMA(2,2)","shrinkage_eta1(%)","shrinkage_eta2(%)","shrinkage_eta3(%)","shrinkage_iwres(%)","EI1","EI2","EI3","EI4","EI5","EI6","EI7","EI8","EI9","EI10","EI11","EI12","EI13","EI14","EI15","EI16","EI17","EI18","EI19","EI20","EI21"
118,1,1,1,1,1,0,0,0,0,0,0,0,3,18753300,FOCE_I,0:21:36,271.22,1022.33,48646.4224279562,194.547,4134.07,0.343566,0.279633,0.232265,52.4246,1346.04,0.747565,-0.115762,0.00904863,0.00817093,0.569714,0.990239,1.79641,0.207945,1.32693,0.197769,0.476187,0.640508,0.103481,3.82511,4.85979,231.142,0.0269426,0.0574579,0.122573,4.91617,134.501,0.0192754,0.0546008,0.00533722,0.0577337,0.019792,0.0757979,0.162436,0.0264103,0.147079,0.0129773,0.0590366,0.0889839,0.00439375,1.07725,NA,NA,NA,NA,2.38844e-07,0.0522225,0.0665775,0.108528,0.215491,0.252094,0.354739,0.399699,0.535566,0.582418,0.674173,0.69768,0.833958,0.907556,1.04588,1.10953,1.47557,1.73458,1.9225,3.55213,4.47912
119,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,FOCE_I,0:06:38,395.97,0,48108.4159702361,198.277,4623.03,0.382578,0.468768,0.356165,48.6897,2039.52,0.75801,-0.104611,0.0134382,0.0568483,0.753008,0.977858,1.7983,0.133723,1.4715,0.203591,0.717876,0.865986,0.0970739,2.84544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,1,1,1,0,0,0,0,1,0,0,0,0,3,NA,FOCE_I,0:09:58,595.52,0,49058.7764618763,187.969,4593.02,0.397509,0.191212,0.328293,48.2165,1592.42,0.728997,-0.261977,-0.0154808,0.0235791,1.43518,1.04969,1.78515,0.162915,1.46344,0.175527,0.644561,0.794689,0.112515,1.7177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1,1,1,0,0,0,0,1,0,0,2,0,0.8,NA,FOCE_I,0:15:43,940.06,0,49780.5070135723,190.38,3976.89,0.330384,0.360528,0.517609,54.5379,1400.57,0.741195,-0.206301,0.00733064,0.136527,0.562087,0.979549,1.62051,0.154106,1.34804,0.184619,0.696901,0.723338,0.100769,3.50402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1,1,1,1,1,0,0,0,0,0,0,0,3.3,383233000,FOCE_I,0:22:34,327.81,1024.12,49422.5591472891,188.503,4294.01,0.390044,0.442825,0.390643,55.5695,1478.68,0.683364,-0.106011,0.00317188,0.109343,0.558971,1.01273,1.2399,0.204948,1.16211,0.199434,0.502493,0.528764,0.109592,3.2156,5.59575,357.37,0.0577922,0.249689,0.223751,5.89243,204.245,0.0263341,0.0825508,0.0300367,0.330633,0.0657092,0.0924995,0.144533,0.0423501,0.182864,0.0143188,0.0763534,0.0903513,0.00539962,1.02507,NA,NA,NA,NA,1.80256e-08,0.00676243,0.0282782,0.07388,0.096923,0.133568,0.163903,0.2139,0.258302,0.396256,0.434512,0.474338,0.566234,0.690744,0.767954,0.897548,1.11624,1.69583,2.6888,3.38801,6.90801
123,1,1,1,1,0,0,1,0,2,1,0,0,3.9,NA,FOCE_I,0:08:05,483.02,0,48315.2524475042,187.398,4440.7,0.382543,0.461742,0.448115,60.1398,1568.95,0.700648,-0.143275,-0.0382486,0.116867,0.534719,0.954664,1.74042,0.174624,1.4343,0.185653,0.570919,0.632771,0.105813,0.000269559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,1,1,1,0,0,0,0,1,10,1,0,0,NA,NA,FOCE_I,0:07:52,469.96,0,48140.8857039558,197.933,5144.34,0.456873,0.208065,0.110006,48.8756,1624.36,0.713471,-0.0782859,-0.0607717,0.0296096,0.882252,0.963398,1.84774,0.20685,1.59539,0.20747,0.54462,0.679362,0.102437,2.47721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,1,1,1,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,0:06:36,393.95,0,49302.7527510052,201.205,4018.85,0.307561,0.432979,0.339948,64.5804,1433.52,0.68199,-0.119647,0.0334426,-0.0206572,1.73447,0.990762,1.52066,0.167597,0.989133,0.18317,0.605675,0.806827,0.100565,4.33293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,1,1,1,0,0,0,0,1,0,0,1,0,1.7,NA,FOCE_I,0:06:42,399.87,0,49588.8858779282,197.324,4463.84,0.40302,0.413045,0.244984,52.2794,1391.08,0.689588,-0.0458048,0.00563188,0.0434678,1.50776,0.917948,1.65141,0.185463,1.44698,0.167817,0.497521,0.580125,0.105472,2.55664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1,1,1,0,0,0,0,1,0,0,0,0,1.6,NA,FOCE_I,0:13:31,808.93,0,49052.0514681087,191.369,4299.22,0.348862,0.264796,0.323797,52.8767,1491.81,0.744147,-0.166599,0.000382415,0.0399891,0.9215,1.09766,1.71981,0.177381,1.5567,0.198676,0.518905,0.695922,0.104537,2.94189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,1,1,1,0,0,0,0,1,0,0,0,0,1.7,NA,FOCE_I,0:12:35,752.73,0,48635.8447254561,196.934,4230.5,0.346589,0.432774,0.471714,55.4529,1393.76,0.697525,-0.0840942,0.0503009,0.0555954,0.99232,0.975621,1.54717,0.159302,1.181,0.195235,0.643796,0.762413,0.103383,0.725747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,1,1,1,0,0,0,0,1,8,1,0,0,NA,NA,FOCE_I,0:05:46,344.28,0,49382.8602947998,203.451,4385.9,0.374535,0.310415,0.164437,55.8622,1490.92,0.736094,-0.0634545,-0.0123863,0.0882779,0.882252,0.945459,1.73693,0.179116,1.37097,0.190754,0.6459,0.617959,0.105041,2.92916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,1,1,1,0,0,0,0,1,0,0,1,0,2.3,NA,FOCE_I,0:09:03,540.71,0,49724.6066133252,201.637,4330.63,0.377174,0.305837,0.514411,53.8321,1385.54,0.716609,-0.0575427,-0.00890463,0.0287446,0.853861,0.869609,1.75934,0.172844,1.44996,0.190876,0.544391,0.528553,0.103496,3.50046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,1,1,1,1,0,0,0,0,0,0,0,0,3.7,NA,FOCE_I,0:24:29,411.04,1056.14,48691.8325053353,191.266,3977.52,0.296923,0.32464,0.816505,57.4631,1713.17,0.7067,-0.14748,0.0617531,0.0300493,0.582302,1.02459,1.79862,0.143722,1.25684,0.173152,0.619089,0.745203,0.105983,0.56158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,1,1,1,1,1,0,0,0,0,0,0,0,3.7,5419.73,FOCE_I,0:22:46,285.64,1078.11,48844.9054404235,201.018,4426.48,0.390634,0.432974,0.342169,50.6512,1389.42,0.764431,-0.0758388,-0.0486521,0.023173,0.782385,1.16806,1.37538,0.150043,1.27646,0.17607,0.661564,0.938179,0.106922,3.14407,10.4238,602.478,0.0975337,0.338162,1.06326,16.9678,412.357,0.0189546,0.253179,0.200243,0.715649,0.406146,0.0753178,0.459583,0.0259388,0.486848,0.0114637,0.0962574,0.134868,0.00497045,1.0927,NA,NA,NA,NA,0.00227626,0.00376135,0.00846905,0.0123805,0.0210116,0.0282132,0.0365763,0.0690214,0.107739,0.141386,0.182801,0.272906,0.376238,0.495575,0.617546,0.777344,0.940991,0.994208,1.37713,2.19774,12.3367
133,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:18:50,1128.34,0,47968.7923805769,198.316,4247.55,0.429882,0.133866,0.315987,51.9025,1611.94,0.718484,-0.111741,0.0669251,-0.0398466,0.608237,0.942721,1.5054,0.159616,1.53265,0.192291,0.527812,0.778044,0.0969497,1.74007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,1,1,1,0,0,0,0,1,0,0,0,0,2.1,NA,FOCE_I,0:06:54,411.88,0,49085.3697823919,195.377,4289.36,0.383714,0.248843,0.445855,55.3365,1496.03,0.775019,-0.155325,0.0504589,-0.0548939,1.01394,0.957062,1.58406,0.153537,1.22674,0.185112,0.620252,0.86871,0.104654,0.672138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,FOCE_I,0:08:45,522.59,0,50244.0640456405,192.74,4137.99,0.320058,0.401381,0.446364,56.9324,1620.72,0.737084,-0.0634704,-0.00990521,-0.0869223,0.536657,0.822119,1.66676,0.14527,1.07437,0.190862,0.581428,0.658437,0.114083,0.274584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,1,1,1,0,0,0,0,1,12,1,2,0,NA,NA,FOCE_I,0:12:47,764.52,0,47409.0636998501,191.999,4099.94,0.332566,0.50681,0.412799,57.0467,1873.5,0.729935,-0.0555806,-0.00194994,0.111574,0.882252,0.938808,1.63471,0.150057,1.28423,0.202237,0.691951,0.618536,0.0993888,0.494942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,1,1,1,0,0,0,0,1,11,1,1,0,NA,NA,FOCE_I,0:11:31,688.25,0,49073.0690207878,189.821,4575.01,0.356139,0.492816,0.556494,48.0069,1192.53,0.71498,-0.182209,-0.0584434,0.19695,0.882252,1.06669,1.86246,0.189792,1.39688,0.194054,0.649312,0.696367,0.0987641,2.08189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,1,1,1,0,0,0,0,1,0,0,0,0,2.6,NA,FOCE_I,0:17:16,1033.4,0,50060.6538669033,188.995,4185.91,0.394161,0.520457,0.291014,45.8298,1279.78,0.741359,-0.143057,0.028989,0.125684,1.19652,1.00056,1.67352,0.163569,1.44198,0.164964,0.672481,0.810356,0.0977987,2.83063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,1,1,1,1,1,0,0,0,0,0,1,0,3.4,10604.4,FOCE_I,0:23:31,331.92,1076.88,49025.5773341436,194.402,4262.28,0.393527,0.311576,0.419179,52.4446,1257.48,0.722643,-0.0822491,0.0373479,0.0829027,0.991,0.959367,1.61895,0.170664,1.40481,0.195865,0.631196,0.685162,0.106481,2.95169,24.1241,375.672,0.0770034,0.294231,0.522086,9.20822,128.074,0.0260089,0.214823,0.13994,0.180987,0.446815,0.148895,0.183563,0.0149138,0.201576,0.0140406,0.0825449,0.129507,0.00451178,1.07784,NA,NA,NA,NA,0.000983929,0.00923661,0.0106916,0.0242805,0.0394955,0.0601844,0.115193,0.124266,0.164989,0.213099,0.23732,0.268585,0.476205,0.656308,0.722953,0.796383,0.995144,1.11629,1.61846,2.91591,10.434
140,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:06:23,380.78,0,49073.2851141846,197.415,4551.75,0.432103,0.571762,0.498401,53.8353,1590.43,0.723072,-0.00496587,-0.0109585,0.0317793,0.841915,1.06915,1.88164,0.194494,1.74185,0.179681,0.516772,0.644408,0.103981,1.89027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,1,1,1,1,0,0,0,0,0,0,0,0,3.5,NA,FOCE_I,0:15:06,253.79,649.92,50409.5409238366,184.204,4411.85,0.412846,0.385226,0.373752,54.1013,1380.37,0.716121,-0.151407,-0.105735,0.0551021,0.738352,1.01081,1.60389,0.158038,1.36828,0.170275,0.55937,0.63963,0.104649,2.91405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,1,1,1,1,0,1,0,0,0,0,1,0,3.3,NA,FOCE_I,0:34:11,1036.95,1012.05,48357.6175908491,202.098,4910.93,0.389403,0.429393,0.506502,45.1139,1671.14,0.712897,-0.00917902,0.00957796,0.045948,1.54733,1.07706,1.69653,0.183598,1.34336,0.178474,0.561326,0.801386,0.100971,2.96472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,1,1,1,0,0,0,0,1,0,0,1,0,NA,NA,FOCE_I,0:06:40,397.67,0,49354.8741851917,204.103,4788.76,0.385661,0.239039,0.219826,58.5285,1319.28,0.716289,-0.0584014,-0.0489989,-0.00365113,0.782407,1.0737,1.61894,0.173409,1.24272,0.193353,0.591145,0.764013,0.108735,1.99639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,1,1,1,0,0,0,0,1,0,0,1,0,1.8,NA,FOCE_I,0:12:59,776.38,0,48815.9371127949,193.308,4280.37,0.373094,0.508494,0.632775,53.335,1279.67,0.692181,-0.0441871,-0.0033863,-0.0680448,1.5453,0.963897,1.75993,0.2047,1.45621,0.188995,0.528801,0.63491,0.108389,3.37827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,1,1,1,0,0,0,0,1,9,1,0,0,NA,NA,FOCE_I,0:07:22,440.38,0,48225.4245111743,191.469,4085.83,0.348706,0.52116,0.445628,53.6205,1447.16,0.745435,-0.147869,0.063032,-0.156389,0.882252,1.07218,1.25232,0.194479,1.1544,0.186378,0.578468,0.905858,0.105197,1.62033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,1,1,1,0,0,0,0,1,0,0,1,0,1.5,NA,FOCE_I,0:12:25,742.89,0,47593.8861671772,189.777,4032.65,0.351247,0.485496,0.366512,53.7503,1383.09,0.764148,-0.139079,-0.0483331,0.0691688,0.813728,0.844935,1.55964,0.182453,1.45706,0.18302,0.628735,0.796173,0.102486,2.7189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,1,1,1,1,1,0,0,0,0,0,0,0,3.2,22275100000,FOCE_I,0:23:17,396.19,998.7,48102.2309044376,203.531,5129.12,0.425015,0.452523,0.489072,46.5188,1342.97,0.730625,-0.0598575,0.0529928,0.124394,1.84779,0.91746,2.03687,0.179751,1.66992,0.209201,0.656337,0.61428,0.10081,2.78946,8.45824,311.218,0.0334656,0.163659,0.345521,6.5205,303.174,0.020292,0.0866034,0.0456042,0.186041,0.365042,0.0718614,0.148565,0.0250386,0.115374,0.0147087,0.0756762,0.0885109,0.00441018,1.03339,NA,NA,NA,NA,3.71687e-10,0.0133914,0.0233282,0.0642695,0.111971,0.136399,0.231713,0.299225,0.36962,0.404583,0.491843,0.606043,0.712494,0.793579,0.927505,1.02824,1.18084,1.39556,1.49316,2.43686,8.27937
148,1,1,1,1,0,0,0,0,0,0,0,0,3.1,NA,FOCE_I,0:24:04,394.03,1047.59,49546.883454714,187.005,3720.53,0.32666,0.291562,0.559603,57.7814,1330.31,0.728506,-0.232841,0.0361847,0.0402842,1.01698,0.934415,1.35543,0.150649,1.13071,0.19029,0.670987,0.814318,0.100875,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,1,1,1,1,1,0,0,0,0,0,0,0,3.1,344907000,FOCE_I,0:20:44,238.93,1002.58,48122.8900930555,190.055,4189.49,0.361156,0.376653,0.547539,50.7557,1303.92,0.733443,-0.149063,0.0206283,-0.0882836,1.7055,1.05844,1.66452,0.162721,1.44302,0.188479,0.628491,0.56288,0.0986869,3.89007,5.53012,390.454,0.0516121,0.150986,0.210617,7.42873,260.056,0.0215486,0.0548711,0.0696514,0.141161,0.45344,0.0825204,0.172503,0.0169027,0.229276,0.0136667,0.0733424,0.0862424,0.00437229,1.14685,NA,NA,NA,NA,2.05876e-08,0.0214366,0.0346349,0.0888206,0.133372,0.177217,0.197681,0.268756,0.293216,0.398987,0.489491,0.641425,0.692762,0.812545,0.85636,0.982537,1.27712,1.59326,2.33663,2.60293,7.10081
150,1,1,1,1,0,1,0,0,0,0,1,0,3.1,NA,FOCE_I,0:23:48,392.17,1034.03,49031.1812646832,202.84,4996.67,0.427618,0.482126,0.537842,45.5753,1975.12,0.722671,-0.0159629,0.0188023,0.133011,0.517273,0.987052,1.81018,0.136333,1.48761,0.198621,0.710552,0.810401,0.101575,2.04669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,1,1,1,0,0,0,0,1,0,0,1,0,2,NA,FOCE_I,0:05:29,327.27,0,49107.5105153693,190.068,4770.36,0.433731,0.455103,0.466459,61.6882,1419.79,0.696634,-0.187033,-0.018172,0.221103,1.44762,1.13356,1.45315,0.229535,1.34498,0.186373,0.597285,0.533895,0.113349,0.618219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,1,1,1,0,0,0,0,1,0,0,0,0,2.2,NA,FOCE_I,0:05:12,310.06,0,48312.1078784349,194.203,4351.56,0.334062,0.367657,0.647288,39.5274,1729.13,0.691378,-0.11486,0.00871021,-0.0361717,0.539512,1.11672,1.83581,0.151346,1.3654,0.182277,0.735973,0.846985,0.0936489,2.56792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,1,1,1,1,0,0,1,0,2,1,1,0,3.1,NA,FOCE_I,0:03:56,234.06,0,49567.4102283489,193.096,4352.23,0.416559,0.485302,0.345964,60.0188,1578.35,0.747035,-0.0458712,-0.020637,0.114593,0.853115,1.04434,1.44698,0.185359,1.39551,0.190819,0.543303,0.683251,0.112098,0.000269559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,1,1,1,0,0,0,0,1,0,0,0,0,NA,NA,FOCE_I,0:09:53,590.68,0,49534.2649904219,195.763,4135.68,0.363773,0.418177,0.262313,53.351,1387.75,0.733491,-0.0916528,0.0328395,0.211213,1.7046,1.04134,1.18051,0.162753,1.0863,0.185993,0.653685,0.777811,0.109967,2.47714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,1,1,1,1,1,0,0,0,0,0,0,0,3,180.008,FOCE_I,0:15:06,270.57,633.67,49210.6443188081,202.604,4816.16,0.480837,0.357023,0.333073,53.5516,1590.64,0.721445,-0.120465,0.0502767,0.0677814,1.18022,0.968866,1.78679,0.158596,1.75704,0.194819,0.554303,0.580257,0.0965807,2.65686,5.51949,286.457,0.0413031,0.0518154,0.179047,4.89675,168.568,0.0200468,0.0521972,0.039514,0.080187,0.426699,0.063757,0.116607,0.020796,0.134214,0.0128749,0.0688207,0.0702806,0.00420261,0.868789,NA,NA,NA,NA,0.0257314,0.0608291,0.139293,0.170346,0.205612,0.260429,0.325594,0.354149,0.425146,0.516933,0.703565,0.754759,0.890327,0.94158,1.06018,1.08714,1.36507,1.86672,2.18122,3.03352,4.63186
156,1,1,1,1,1,0,0,0,0,0,0,0,3.9,73075900000000,FOCE_I,0:21:04,250.88,1011.45,49284.6887866558,188.791,4321.73,0.384621,0.304287,0.429245,48.4177,1319.63,0.701836,-0.188412,0.0121435,0.133974,1.58654,0.957431,1.80153,0.195364,1.57804,0.182181,0.543964,0.644621,0.104861,2.29796,6.92454,448.251,0.125746,0.371355,0.297983,20.6569,471.569,0.0454251,0.106855,0.168019,0.325331,0.84513,0.114221,0.165502,0.0206871,0.475213,0.0135661,0.0780614,0.107874,0.00521271,1.14953,NA,NA,NA,NA,1.8874e-13,0.00333894,0.00634384,0.0107891,0.0155588,0.0215976,0.0562451,0.0741364,0.106202,0.163941,0.182278,0.224028,0.317271,0.455703,0.590375,0.679263,0.798928,0.871847,1.13139,1.4984,13.7924
157,1,1,1,0,0,0,0,1,8,1,1,0,NA,NA,FOCE_I,0:06:29,386.45,0,49345.3311471902,190.354,4371.44,0.396511,0.351496,0.276845,46.3177,1399.09,0.751158,-0.100954,-0.0894497,0.247152,0.882252,0.988972,1.56975,0.164308,1.41073,0.191156,0.569311,0.801706,0.102345,2.1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,1,1,1,0,0,0,0,1,0,0,2,0,2.4,NA,FOCE_I,0:10:10,607.62,0,49565.9841818827,188.95,4403.47,0.370215,0.355752,0.568835,46.0009,1489.57,0.719272,-0.119273,-0.0404699,0.130602,0.735981,1.00612,1.86239,0.166579,1.45413,0.170832,0.701255,0.764651,0.103814,3.04714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
